lead_id,perceived_value,first_name,last_name,city,state,phone,email
45654,Moderate,Brock,Bolognia,New York,NY,212-402-9216,bbolognia@yahoo.com
45655,Moderate,Lorrie,Nestle,Tullahoma,TN,931-875-6644,lnestle@hotmail.com
45656,Low,Sabra,Uyetake,Columbia,SC,803-925-5213,sabra@uyetake.org
45657,Moderate,Marjory,Mastella,Wayne,PA,610-814-5533,mmastella@mastella.com
45658,Low,Karl,Klonowski,Flemington,NJ,908-877-6135,karl_klonowski@yahoo.com
45659,Moderate,Tonette,Wenner,Westbury,NY,516-968-6051,twenner@aol.com
45660,Low,Amber,Monarrez,Jenkintown,PA,215-934-8655,amber_monarrez@monarrez.org
45661,Moderate,Shenika,Seewald,Van Nuys,CA,818-423-4007,shenika@gmail.com
45662,Moderate,Delmy,Ahle,Providence,RI,401-458-2547,delmy.ahle@hotmail.com
45663,Low,Deeanna,Juhas,Huntingdon Valley,PA,215-211-9589,deeanna_juhas@gmail.com
45664,Low,Blondell,Pugh,Providence,RI,401-960-8259,bpugh@aol.com
45665,Moderate,Jamal,Vanausdal,Monroe Township,NJ,732-234-1546,jamal@vanausdal.org
45666,Low,Cecily,Hollack,Austin,TX,512-486-3817,cecily@hollack.org
45667,High,Carmelina,Lindall,Littleton,CO,303-724-7371,carmelina_lindall@lindall.com
45668,Moderate,Maurine,Yglesias,Milwaukee,WI,414-748-1374,maurine_yglesias@yglesias.com
45669,Moderate,Tawna,Buvens,New York,NY,212-674-9610,tawna@gmail.com
45670,Low,Penney,Weight,Anchorage,AK,907-797-9628,penney_weight@aol.com
45671,Moderate,Elly,Morocco,Erie,PA,814-393-5571,elly_morocco@gmail.com
45672,Low,Ilene,Eroman,Glen Burnie,MD,410-914-9018,ilene.eroman@hotmail.com
45673,Moderate,Vallie,Mondella,Boise,ID,208-862-5339,vmondella@mondella.com
45674,Low,Kallie,Blackwood,San Francisco,CA,415-315-2761,kallie.blackwood@gmail.com
45675,Moderate,Johnetta,Abdallah,Chapel Hill,NC,919-225-9345,johnetta_abdallah@aol.com
45676,Moderate,Bobbye,Rhym,San Carlos,CA,650-528-5783,brhym@rhym.com
45677,Low,Micaela,Rhymes,Concord,CA,925-647-3298,micaela_rhymes@gmail.com
45678,Low,Tamar,Hoogland,London,OH,740-343-8575,tamar@hotmail.com
45679,Moderate,Moon,Parlato,Wellsville,NY,585-866-8313,moon@yahoo.com
45680,Low,Laurel,Reitler,Baltimore,MD,410-520-4832,laurel_reitler@reitler.com
45681,High,Delisa,Crupi,Newark,NJ,973-354-2040,delisa.crupi@crupi.com
45682,Moderate,Viva,Toelkes,Chicago,IL,773-446-5569,viva.toelkes@gmail.com
45683,Moderate,Elza,Lipke,Newark,NJ,973-927-3447,elza@yahoo.com
45684,Low,Devorah,Chickering,Clovis,NM,505-975-8559,devorah@hotmail.com
45685,Moderate,Timothy,Mulqueen,Staten Island,NY,718-332-6527,timothy_mulqueen@mulqueen.org
45686,Low,Arlette,Honeywell,Jacksonville,FL,904-775-4480,ahoneywell@honeywell.com
45687,Moderate,Dominque,Dickerson,Hayward,CA,510-993-3758,dominque.dickerson@dickerson.org
45688,Low,Lettie,Isenhower,Beachwood,OH,216-657-7668,lettie_isenhower@yahoo.com
45689,Moderate,Myra,Munns,Euless,TX,817-914-7518,mmunns@cox.net
45690,Moderate,Stephaine,Barfield,Gardena,CA,310-774-7643,stephaine@barfield.com
45691,Low,Lai,Gato,Evanston,IL,847-728-7286,lai.gato@gato.org
45692,Low,Stephen,Emigh,Akron,OH,330-537-5358,stephen_emigh@hotmail.com
45693,Moderate,Tyra,Shields,Philadelphia,PA,215-255-1641,tshields@gmail.com
45694,Low,Tammara,Wardrip,Burlingame,CA,650-803-1936,twardrip@cox.net
45695,High,Cory,Gibes,San Gabriel,CA,626-572-1096,cory.gibes@gmail.com
45696,Moderate,Danica,Bruschke,Waco,TX,254-782-8569,danica_bruschke@gmail.com
45697,Moderate,Wilda,Giguere,Anchorage,AK,907-870-5536,wilda@cox.net
45698,Low,Elvera,Benimadho,San Jose,CA,408-703-8505,elvera.benimadho@cox.net
45699,Moderate,Carma,Vanheusen,San Leandro,CA,510-503-7169,carma@cox.net
45700,Low,Malinda,Hochard,Indianapolis,IN,317-722-5066,malinda.hochard@yahoo.com
45701,Moderate,Natalie,Fern,Rock Springs,WY,307-704-8713,natalie.fern@hotmail.com
45702,Low,Lisha,Centini,Mc Lean,VA,703-235-3937,lisha@centini.org
45703,Low,Arlene,Klusman,New Orleans,LA,504-710-5840,arlene_klusman@gmail.com
